X	Differentiation_Date	IP_date	cDNA_date	Library_prep_date	Index	Kit	library_name	Sample_description	RNA_yield_ng	RNA_input	cDNA_yield	cDNA_INPUT	cycles	Library.concentration..Qubit.	Average.size..BA...bp.	Library.concentration..nM...qPCR.	Sample_Type	Culture_Type	Cell.Type	Group	Antibody	RNA_bin	paired.samples							
Sample_lib34	NA	20190314	20190806	20190829	UDP0034	B	Sample_lib34	GABA HA IP	43.2	50	2668	100	5	1.98	538	10.51628816	IP	monoculture	GABA	GABA IP control	HA	high	purple							
Sample_lib35	NA	20190314	20190806	20190829	UDP0035	B	Sample_lib35	GABA V5 IP	0	1	50.4	25	6	2.49	501	21.08300788	IP	monoculture	GABA	GABA IP control	V5	low	black							
Sample_lib36	20180924	20181016	20190416	20190829	UDP0036	B	Sample_lib36	MN IC 10-16	3.92	22	59.4	25	6	2.04	516	21.81431163	Input	monoculture	Motor Neuron	motor.neuron.input	none	high	blue							
Sample_lib5	20190603	20190715	20190718	20190828	UDP0005	A	Sample_lib5	Co-culture HA IP	42.4	50	1224	100	5	8.42	577	37.01407284	IP	co-culture	Astrocyte	co.culture.astro.IP	HA	high	yellow							
Sample_lib6	20190603	20190715	20190718	20190828	UDP0006	A	Sample_lib6	Astro HA IP	7.72	50	1144	100	5	7.65	545	30.0387109	IP	monoculture	Astrocyte	astro.IP	HA	high	yellow							
Sample_lib7	20190603	20190715	20190718	20190828	UDP0007	A	Sample_lib7	Motor Neuron V5 IP	0	1	21.8	5	12	5.37	454	46.6261524	IP	monoculture	Motor Neuron	motor.neuron.IP	V5	low	yellow							
Sample_lib8	20190603	20190715	20190718	20190828	UDP0008	A	Sample_lib8	Co-culture V5 IP	0	1	9.24	2.5	12	3.37	491	20.40480678	IP	co-culture	Motor Neuron	co.culture.motor.neuron.IP	V5	low	yellow							
Sample_lib9	20190528	20190626	20190709	20190828	UDP0009	A	Sample_lib9	Motor Neuron IC	18.5	50	2320	100	5	5.43	528	36.50718753	Input	monoculture	Motor Neuron	motor.neuron.input	none	high	green							
NPC_IC	NA	NA	NA	20190430	H707/H505	C	NPC_IC	NPC input	84.4	15	104.4	15	9	7.33	506	16.40980474	Input	monoculture	NPC	NPC input	none	high	violet							
NPC_IP	NA	NA	NA	20190430	H710/H506	C	NPC_IP	NPC IP	20.6	15	65.88	15	9	7.14	502	13.48844855	IP	monoculture	NPC	NPC IP	HA	high	violet							
