Device_Name	Plate_Name	Barcode	Date_Run	EH_sample_ID	Well_number	Well_Row	Well_Column	Well_Name	Group_Name	ROX_Threshold	FAM_Threshold	VIC_Threshold	CY5_Threshold	Number_Of_Positives_in_ROX	Number_Of_Positives_in_FAM	Number_of_templates_in_FAM	Concentration_in_FAM	CV%_estimates_in_FAM	Number_Of_Positives_in_VIC	Number_of_templates_in_VIC	Concentration_in_VIC	CV%_estimates_in_VIC	Number_Of_Positives_in_CY5	Number_of_templates_in_CY5	Concentration_in_CY5	CV%_estimates_in_CY5	User-defined_attribute_1	User-defined_attribute_2	User-defined_attribute_3	MH_Sample_ID	Sample_Type	HA_cell_type	V5_cell_type	IP_type	Concentration__ng_ul_	HA_donor	V5_donor
19	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	7	17	2	5	B05	DEFAULT	12.8	57.6	31.8	16.9	7971	1200	1400	742	2.8	2094	2616	1386	2.1	7	7	3.7	38	NA	NA	NA	13	IC	iGaN			26	553	
20	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	7	18	2	6	B06	DEFAULT	12.8	57.6	31.8	16.9	7953	1328	1568	831	2.7	2103	2636	1396	2.1	15	16	8.5	25	NA	NA	NA	13	IC	iGaN			26	553	
21	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	7	19	2	7	B07	DEFAULT	12.8	57.6	31.8	16.9	7960	1269	1490	789	2.7	2075	2592	1373	2.1	20	21	11	22	NA	NA	NA	13	IC	iGaN			26	553	
22	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	8	29	3	5	C05	DEFAULT	12.8	57.6	31.8	16.9	7961	1631	1967	1042	2.4	4937	8309	4401	1.5	5	5	2.6	45	NA	NA	NA	14	IC	iGaN			18.6	641	
23	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	8	30	3	6	C06	DEFAULT	12.8	57.6	31.8	16.9	8021	1629	1948	1032	2.4	5023	8447	4474	1.4	8	8	4.2	35	NA	NA	NA	14	IC	iGaN			18.6	641	
24	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	8	31	3	7	C07	DEFAULT	12.8	57.6	31.8	16.9	8008	1748	2113	1119	2.2999999999999998	5096	8683	4599	1.4	15	16	8.5	25	NA	NA	NA	14	IC	iGaN			18.6	641	
25	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	9	41	4	5	D05	DEFAULT	12.8	57.6	31.8	16.9	7902	1236	1460	773	2.7	5694	10944	5797	1.4	16	17	9	24	NA	NA	NA	15	IC	iGluN			55.6	641	
26	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	9	42	4	6	D06	DEFAULT	12.8	57.6	31.8	16.9	6230	955	1428	756	2.8	4388	10459	5540	1.6	8	11	5.8	30	NA	NA	NA	15	IC	iGluN			55.6	641	
27	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	9	43	4	7	D07	DEFAULT	12.8	57.6	31.8	16.9	7855	1213	1439	762	2.8	5565	10580	5604	1.4	9	9	4.8	33	NA	NA	NA	15	IC	iGluN			55.6	641	
28	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	10	53	5	5	E05	DEFAULT	12.8	57.6	31.8	16.9	7808	488	553	293	4.3	3	3	1.6	58	3421	4948	2621	1.7	NA	NA	NA	18	IC		iGluN		52.2		553
29	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	10	54	5	6	E06	DEFAULT	12.8	57.6	31.8	16.9	7764	570	654	346	4	2	2	1.1000000000000001	71	3273	4699	2489	1.7	NA	NA	NA	18	IC		iGluN		52.2		553
30	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	10	55	5	7	E07	DEFAULT	12.8	57.6	31.8	16.9	7827	558	634	336	4.0999999999999996	2	2	1.1000000000000001	71	3521	5129	2717	1.7	NA	NA	NA	18	IC		iGluN		52.2		553
31	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	11	65	6	5	F05	DEFAULT	12.8	57.6	31.8	16.9	7715	574	663	351	4	19	21	11	22	4248	6866	3637	1.5	NA	NA	NA	18	IC		iGluN		106		553
32	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	11	66	6	6	F06	DEFAULT	12.8	57.6	31.8	16.9	7708	608	705	373	3.9	12	13	6.9	28	4234	6841	3623	1.5	NA	NA	NA	18	IC		iGluN		106		553
33	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	11	67	6	7	F07	DEFAULT	12.8	57.6	31.8	16.9	7747	564	648	343	4	15	16	8.5	25	4276	6891	3650	1.5	NA	NA	NA	18	IC		iGluN		106		553
34	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	12	77	7	5	G05	DEFAULT	12.8	57.6	31.8	16.9	7833	1127	1333	706	2.9	5	5	2.6	45	2500	3299	1747	1.9	NA	NA	NA	19	IC		iGluN		160		641
35	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	12	78	7	6	G06	DEFAULT	12.8	57.6	31.8	16.9	7771	1138	1359	720	2.8	4	4	2.1	50	2539	3395	1798	1.9	NA	NA	NA	19	IC		iGluN		160		641
36	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	12	79	7	7	G07	DEFAULT	12.8	57.6	31.8	16.9	7787	1124	1338	709	2.9	5	5	2.6	45	2512	3343	1771	1.9	NA	NA	NA	19	IC		iGluN		160		641
37	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	13	20	2	8	B08	DEFAULT	12.8	57.6	31.8	16.9	7898	835	959	508	3.3	3	3	1.6	58	2941	3998	2118	1.8	NA	NA	NA	19	IC		iGluN		132		641
38	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	13	21	2	9	B09	DEFAULT	12.8	57.6	31.8	16.9	7865	894	1035	548	3.2	3	3	1.6	58	2870	3897	2064	1.8	NA	NA	NA	19	IC		iGluN		132		641
39	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	13	22	2	10	B10	DEFAULT	12.8	57.6	31.8	16.9	7613	831	992	525	3.3	3	3	1.6	58	2722	3798	2012	1.8	NA	NA	NA	19	IC		iGluN		132		641
40	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	14	32	3	8	C08	DEFAULT	12.8	57.6	31.8	16.9	7935	578	649	344	4	4	4	2.1	50	1712	2086	1105	2.2999999999999998	NA	NA	NA	20	IC		iGaN		5.94		553
41	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	14	33	3	9	C09	DEFAULT	12.8	57.6	31.8	16.9	7919	572	643	341	4	1	1	0.5	100	1677	2042	1082	2.4	NA	NA	NA	20	IC		iGaN		5.94		553
42	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	14	34	3	10	C10	DEFAULT	12.8	57.6	31.8	16.9	7985	560	624	331	4.0999999999999996	5	5	2.6	45	1666	2008	1064	2.4	NA	NA	NA	20	IC		iGaN		5.94		553
43	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	15	44	4	8	D08	DEFAULT	12.8	57.6	31.8	16.9	7856	148	163	86	7.9	1535	1866	988	2.5	319	355	188	5.4	NA	NA	NA	7	IP V5	iGluN	iGluN	V5	0	641	553
44	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	15	45	4	9	D09	DEFAULT	12.8	57.6	31.8	16.9	7787	121	134	71	8.6999999999999993	1620	2002	1060	2.4	311	349	185	5.4	NA	NA	NA	7	IP V5	iGluN	iGluN	V5	0	641	553
45	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	15	46	4	10	D10	DEFAULT	12.8	57.6	31.8	16.9	7897	140	153	81	8.1	1615	1963	1040	2.4	306	339	180	5.5	NA	NA	NA	7	IP V5	iGluN	iGluN	V5	0	641	553
46	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	16	56	5	8	E08	DEFAULT	12.8	57.6	31.8	16.9	7830	890	1035	548	3.2	6590	15819	8379	1.4	605	690	365	3.9	NA	NA	NA	7	IP HA	iGluN	iGluN	HA	20.6	641	553
47	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	16	57	5	9	E09	DEFAULT	12.8	57.6	31.8	16.9	7599	881	1057	560	3.2	6457	16268	8617	1.5	572	671	355	3.9	NA	NA	NA	7	IP HA	iGluN	iGluN	HA	20.6	641	553
48	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	16	58	5	10	E10	DEFAULT	12.8	57.6	31.8	16.9	7816	975	1143	605	3.1	6635	16222	8592	1.4	678	778	412	3.7	NA	NA	NA	7	IP HA	iGluN	iGluN	HA	20.6	641	553
49	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	17	68	6	8	F08	DEFAULT	12.8	57.6	31.8	16.9	7384	70	81	43	11	141	165	87	7.8	98	114	60	9.4	NA	NA	NA	8	IP V5	iGaN	iGaN	V5	0	641	553
50	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	17	69	6	9	F09	DEFAULT	12.8	57.6	31.8	16.9	7907	54	58	31	13	160	175	93	7.6	130	142	75	8.4	NA	NA	NA	8	IP V5	iGaN	iGaN	V5	0	641	553
51	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	17	70	6	10	F10	DEFAULT	12.8	57.6	31.8	16.9	7814	45	49	26	14	179	198	105	7.2	142	157	83	8	NA	NA	NA	8	IP V5	iGaN	iGaN	V5	0	641	553
52	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	18	80	7	8	G08	DEFAULT	12.8	57.6	31.8	16.9	7867	581	658	349	4	3143	4378	2319	1.7	614	697	369	3.9	NA	NA	NA	8	IP HA	iGaN	iGaN	HA	5.02	641	553
53	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	18	81	7	9	G09	DEFAULT	12.8	57.6	31.8	16.9	7892	541	609	323	4.0999999999999996	3334	4712	2496	1.7	624	707	374	3.8	NA	NA	NA	8	IP HA	iGaN	iGaN	HA	5.02	641	553
54	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	18	82	7	10	G10	DEFAULT	12.8	57.6	31.8	16.9	7896	522	587	311	4.2	3241	4535	2402	1.7	641	726	385	3.8	NA	NA	NA	8	IP HA	iGaN	iGaN	HA	5.02	641	553
55	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	19	14	2	2	B02	DEFAULT	13.1	60.5	29.5	15.5	7780	20	22	12	21	267	299	158	5.8	3963	6112	3237	1.6	NA	NA	NA	9	IP V5	iGaN	iGluN	V5	0	641	553
56	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	19	15	2	3	B03	DEFAULT	13.1	60.5	29.5	15.5	7706	30	33	17	17	302	343	182	5.5	3765	5756	3049	1.6	NA	NA	NA	9	IP V5	iGaN	iGluN	V5	0	641	553
57	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	19	16	2	4	B04	DEFAULT	13.1	60.5	29.5	15.5	7836	19	20	11	22	293	327	173	5.6	4082	6317	3346	1.6	NA	NA	NA	9	IP V5	iGaN	iGluN	V5	0	641	553
58	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	20	26	3	2	C02	DEFAULT	13.1	60.5	29.5	15.5	7919	52	56	30	13	3670	5344	2831	1.6	2144	2710	1435	2.1	NA	NA	NA	9	IP HA	iGaN	iGluN	HA	24.4	641	553
59	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	20	27	3	3	C03	DEFAULT	13.1	60.5	29.5	15.5	7789	49	54	29	14	3671	5470	2897	1.6	2151	2774	1469	2.1	NA	NA	NA	9	IP HA	iGaN	iGluN	HA	24.4	641	553
60	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	20	28	3	4	C04	DEFAULT	13.1	60.5	29.5	15.5	7803	84	92	49	10	3721	5561	2945	1.6	2155	2774	1469	2.1	NA	NA	NA	9	IP HA	iGaN	iGluN	HA	24.4	641	553
61	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	21	38	4	2	D02	DEFAULT	13.1	60.5	29.5	15.5	7725	24	26	14	20	139	155	82	8.1	4131	6568	3479	1.5	NA	NA	NA	10	IP V5	iGaN	iGluN	V5	0	553	553
62	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	21	39	4	3	D03	DEFAULT	13.1	60.5	29.5	15.5	7726	18	20	11	22	109	121	64	9.1	4036	6343	3360	1.6	NA	NA	NA	10	IP V5	iGaN	iGluN	V5	0	553	553
63	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	21	40	4	4	D04	DEFAULT	13.1	60.5	29.5	15.5	7725	24	26	14	20	123	137	73	8.6	4188	6705	3551	1.5	NA	NA	NA	10	IP V5	iGaN	iGluN	V5	0	553	553
64	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	22	50	5	2	E02	DEFAULT	13.1	60.5	29.5	15.5	7575	111	126	67	8.9	2329	3153	1670	2	1520	1922	1018	2.4	NA	NA	NA	10	IP HA	iGaN	iGluN	HA	35.4	553	553
65	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	22	51	5	3	E03	DEFAULT	13.1	60.5	29.5	15.5	7606	129	146	77	8.3000000000000007	2270	3042	1611	2	1507	1895	1004	2.4	NA	NA	NA	10	IP HA	iGaN	iGluN	HA	35.4	553	553
66	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	22	52	5	4	E04	DEFAULT	13.1	60.5	29.5	15.5	7800	137	152	81	8.1999999999999993	2408	3169	1678	2	1590	1956	1036	2.4	NA	NA	NA	10	IP HA	iGaN	iGluN	HA	35.4	553	553
67	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	23	62	6	2	F02	DEFAULT	13.1	60.5	29.5	15.5	7868	36	39	21	16	323	359	190	5.3	1892	2361	1251	2.2000000000000002	NA	NA	NA	11	IP V5	iGaN	iGluN	V5	0	641	641
68	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	23	63	6	3	F03	DEFAULT	13.1	60.5	29.5	15.5	7677	31	34	18	17	308	351	186	5.4	1798	2290	1213	2.2999999999999998	NA	NA	NA	11	IP V5	iGaN	iGluN	V5	0	641	641
69	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	23	64	6	4	F04	DEFAULT	13.1	60.5	29.5	15.5	7697	30	33	17	17	297	337	178	5.5	1776	2251	1192	2.2999999999999998	NA	NA	NA	11	IP V5	iGaN	iGluN	V5	0	641	641
70	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	24	74	7	2	G02	DEFAULT	13.1	60.5	29.5	15.5	7649	279	318	168	5.7	4796	8465	4484	1.5	1234	1510	800	2.7	NA	NA	NA	11	IP HA	iGaN	iGluN	HA	21.8	641	641
71	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	24	75	7	3	G03	DEFAULT	13.1	60.5	29.5	15.5	7805	199	221	117	6.8	5024	8858	4692	1.4	1199	1431	758	2.8	NA	NA	NA	11	IP HA	iGaN	iGluN	HA	21.8	641	641
72	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	24	76	7	4	G04	DEFAULT	13.1	60.5	29.5	15.5	7625	244	279	148	6	4803	8532	4519	1.5	1209	1481	784	2.7	NA	NA	NA	11	IP HA	iGaN	iGluN	HA	21.8	641	641
73	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	25	17	2	5	B05	DEFAULT	13.1	60.5	29.5	15.5	7715	18	20	11	22	319	362	192	5.3	2608	3541	1876	1.9	NA	NA	NA	12	IP V5	iGaN	iGluN	V5	0	553	641
74	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	25	18	2	6	B06	DEFAULT	13.1	60.5	29.5	15.5	7898	20	21	11	22	351	390	207	5.0999999999999996	2796	3751	1987	1.8	NA	NA	NA	12	IP V5	iGaN	iGluN	V5	0	553	641
75	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	25	19	2	7	B07	DEFAULT	13.1	60.5	29.5	15.5	7842	18	19	10	23	329	367	194	5.3	2761	3725	1973	1.9	NA	NA	NA	12	IP V5	iGaN	iGluN	V5	0	553	641
76	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	26	29	3	5	C05	DEFAULT	13.1	60.5	29.5	15.5	7861	77	84	44	11	2211	2834	1501	2.1	713	816	432	3.6	NA	NA	NA	12	IP HA	iGaN	iGluN	HA	27.4	553	641
77	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	26	30	3	6	C06	DEFAULT	13.1	60.5	29.5	15.5	7594	84	95	50	10	2234	2990	1584	2	710	842	446	3.5	NA	NA	NA	12	IP HA	iGaN	iGluN	HA	27.4	553	641
78	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	26	31	3	7	C07	DEFAULT	13.1	60.5	29.5	15.5	7877	109	119	63	9.1999999999999993	2373	3077	1630	2	769	881	467	3.5	NA	NA	NA	12	IP HA	iGaN	iGluN	HA	27.4	553	641
79	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	27	41	4	5	D05	DEFAULT	13.1	60.5	29.5	15.5	7915	108	117	62	9.3000000000000007	2569	3368	1784	1.9	13	14	7.4	27	NA	NA	NA	13	IP HA	iGaN		HA	26.4	553	
80	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	27	42	4	6	D06	DEFAULT	13.1	60.5	29.5	15.5	7760	108	120	64	9.1999999999999993	2533	3391	1796	1.9	14	15	7.9	26	NA	NA	NA	13	IP HA	iGaN		HA	26.4	553	
81	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	27	43	4	7	D07	DEFAULT	13.1	60.5	29.5	15.5	7628	131	148	78	8.3000000000000007	2464	3348	1773	1.9	15	16	8.5	25	NA	NA	NA	13	IP HA	iGaN		HA	26.4	553	
82	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	28	53	5	5	E05	DEFAULT	13.1	60.5	29.5	15.5	7490	200	232	123	6.6	4768	8688	4602	1.5	19	21	11	22	NA	NA	NA	14	IP HA	iGaN		HA	29	641	
83	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	28	54	5	6	E06	DEFAULT	13.1	60.5	29.5	15.5	7880	210	231	122	6.6	5017	8690	4603	1.4	6	6	3.2	41	NA	NA	NA	14	IP HA	iGaN		HA	29	641	
84	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	28	55	5	7	E07	DEFAULT	13.1	60.5	29.5	15.5	7866	259	287	152	6	5021	8729	4623	1.4	20	21	11	22	NA	NA	NA	14	IP HA	iGaN		HA	29	641	
85	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	29	65	6	5	F05	DEFAULT	13.1	60.5	29.5	15.5	7836	182	201	106	7.1	6720	16730	8861	1.4	13	14	7.4	27	NA	NA	NA	15	IP HA	iGluN		HA	27.2	641	
86	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	29	66	6	6	F06	DEFAULT	13.1	60.5	29.5	15.5	7870	197	217	115	6.8	6726	16554	8768	1.4	20	21	11	22	NA	NA	NA	15	IP HA	iGluN		HA	27.2	641	
87	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	29	67	6	7	F07	DEFAULT	13.1	60.5	29.5	15.5	7840	193	213	113	6.9	6780	17176	9097	1.5	16	17	9	24	NA	NA	NA	15	IP HA	iGluN		HA	27.2	641	
88	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	30	77	7	5	G05	DEFAULT	13.1	60.5	29.5	15.5	7836	72	79	42	11	11	12	6.4	29	3909	5930	3141	1.6	NA	NA	NA	18	IP V5		iGluN	V5	9.82		553
89	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	30	78	7	6	G06	DEFAULT	13.1	60.5	29.5	15.5	7157	83	100	53	10	4	4	2.1	50	3637	6091	3226	1.6	NA	NA	NA	18	IP V5		iGluN	V5	9.82		553
90	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	30	79	7	7	G07	DEFAULT	13.1	60.5	29.5	15.5	7782	99	109	58	9.6	12	13	6.9	28	3892	5952	3153	1.6	NA	NA	NA	18	IP V5		iGluN	V5	9.82		553
91	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	31	20	2	8	B08	DEFAULT	13.1	60.5	29.5	15.5	7479	40	46	24	15	6	6	3.2	41	4150	6948	3680	1.5	NA	NA	NA	18	IP V5		iGluN	V5	42.2		553
92	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	31	21	2	9	B09	DEFAULT	13.1	60.5	29.5	15.5	7321	39	45	24	15	8	9	4.8	33	3877	6473	3428	1.6	NA	NA	NA	18	IP V5		iGluN	V5	42.2		553
93	dPCR2_001	3.86786e+11	3.86786e+11	2020-01-29 18:03:00	31	22	2	10	B10	DEFAULT	13.1	60.5	29.5	15.5	7861	42	45	24	15	7	7	3.7	38	4089	6303	3338	1.6	NA	NA	NA	18	IP V5		iGluN	V5	42.2		553
